emp_no,first_name,last_name,salary
10066,Kwee,Schusler,102425
10066,Kwee,Schusler,102674
10066,Kwee,Schusler,103672
10150,Zhenbing,Perng,100182
10258,Basil,Ishibashi,100587
10258,Basil,Ishibashi,102901
10258,Basil,Ishibashi,105128
10258,Basil,Ishibashi,105845
10258,Basil,Ishibashi,106912
10258,Basil,Ishibashi,110212
10516,Xiadong,Luga,101812
10584,Mana,Papastamatiou,100331
10584,Mana,Papastamatiou,104787
10584,Mana,Papastamatiou,105818
10690,Matt,Jumpertz,100200
10690,Matt,Jumpertz,100949
10718,Adib,Rullman,100158
10887,Lunjin,DeMori,101291
11106,Aris,Iwayama,101094
11106,Aris,Iwayama,101548
11106,Aris,Iwayama,105087
11106,Aris,Iwayama,108369
11162,Kauko,Narlikar,100362
11162,Kauko,Narlikar,103421
11162,Kauko,Narlikar,103590
11162,Kauko,Narlikar,106899
11551,Subhrajyoti,Gonthier,101954
11551,Subhrajyoti,Gonthier,103579
11551,Subhrajyoti,Gonthier,103142
11693,Hideo,Coorg,101179
11702,Radhia,Kriebel,102194
11702,Radhia,Kriebel,106398
11702,Radhia,Kriebel,108210
11702,Radhia,Kriebel,109127
11702,Radhia,Kriebel,111291
11844,Shawna,Demeyer,101345
11844,Shawna,Demeyer,104648
11844,Shawna,Demeyer,106576
11844,Shawna,Demeyer,108585
11844,Shawna,Demeyer,109476
11844,Shawna,Demeyer,112385
11920,Kasturi,Chinal,100188
11920,Kasturi,Chinal,103974
12159,Shem,Perly,100092
12159,Shem,Perly,103515
12159,Shem,Perly,103268
12249,Eldridge,Sadowski,100448
12472,Leah,Madeira,102718
12472,Leah,Madeira,106185
12662,Leucio,Alvarado,100986
12662,Leucio,Alvarado,104217
12662,Leucio,Alvarado,106235
12783,Mahendra,Ginneken,102605
12783,Mahendra,Ginneken,103274
12884,Paddy,Zyda,101665
12884,Paddy,Zyda,102703
12884,Paddy,Zyda,102851
12884,Paddy,Zyda,103397
12941,Tommaso,Perelgut,103122
12941,Tommaso,Perelgut,103942
13386,Khosrow,Sgarro,100690
13386,Khosrow,Sgarro,105050
13386,Khosrow,Sgarro,109437
13386,Khosrow,Sgarro,113498
13386,Khosrow,Sgarro,115213
13386,Khosrow,Sgarro,118247
13386,Khosrow,Sgarro,122664
13386,Khosrow,Sgarro,125458
13386,Khosrow,Sgarro,129178
13386,Khosrow,Sgarro,132253
13386,Khosrow,Sgarro,136406
13386,Khosrow,Sgarro,140142
13386,Khosrow,Sgarro,144434
13473,Mooi,Bruckman,100726
13473,Mooi,Bruckman,101715
13476,Niclas,Broomell,100352
13476,Niclas,Broomell,100144
13621,Fei,Haddadi,101343
13621,Fei,Haddadi,101399
13621,Fei,Haddadi,102229
13621,Fei,Haddadi,102458
13774,Ramzi,Barbanera,101115
13774,Ramzi,Barbanera,105012
14094,Masaru,Gajiwala,100451
14098,Youssef,Frezza,100231
14098,Youssef,Frezza,102509
14098,Youssef,Frezza,104761
14098,Youssef,Frezza,107879
14098,Youssef,Frezza,110646
14171,Gift,Garnham,101253
14171,Gift,Garnham,102485
14171,Gift,Garnham,106158
14171,Gift,Garnham,106423
14560,Elrique,Driscoll,101373
14581,Gao,Condotta,100478
14768,Khedija,Winter,100283
14768,Khedija,Winter,104681
14768,Khedija,Winter,109145
14768,Khedija,Winter,113102
15015,Shawna,Marchegay,102579
15015,Shawna,Marchegay,104670
15015,Shawna,Marchegay,108399
15015,Shawna,Marchegay,109220
15015,Shawna,Marchegay,111895
15015,Shawna,Marchegay,113616
15015,Shawna,Marchegay,114240
15186,Kenroku,Birdsall,103239
15244,Gina,Bail,100349
15244,Gina,Bail,102168
15244,Gina,Bail,105757
15323,Luerbio,Genin,101586
15323,Luerbio,Genin,103648
15323,Luerbio,Genin,107818
15323,Luerbio,Genin,110664
15323,Luerbio,Genin,115163
15323,Luerbio,Genin,115716
15542,Mariangiola,Hardjono,100979
16025,Doowon,Luce,102140
16025,Doowon,Luce,105764
16025,Doowon,Luce,105929
16025,Doowon,Luce,109003
16025,Doowon,Luce,111050
16025,Doowon,Luce,112754
16025,Doowon,Luce,116483
16025,Doowon,Luce,120033
16551,Sadegh,Ranon,100462
16551,Sadegh,Ranon,104482
16551,Sadegh,Ranon,104823
16551,Sadegh,Ranon,107546
16551,Sadegh,Ranon,108420
16551,Sadegh,Ranon,112184
16551,Sadegh,Ranon,116027
16551,Sadegh,Ranon,117490
16887,Bernardo,Sinitsyn,100842
16887,Bernardo,Sinitsyn,103725
16887,Bernardo,Sinitsyn,104183
16887,Bernardo,Sinitsyn,107711
16887,Bernardo,Sinitsyn,107724
16887,Bernardo,Sinitsyn,110806
16887,Bernardo,Sinitsyn,114702
16887,Bernardo,Sinitsyn,118937
16887,Bernardo,Sinitsyn,120465
16887,Bernardo,Sinitsyn,121767
16887,Bernardo,Sinitsyn,125957
16887,Bernardo,Sinitsyn,127623
16887,Bernardo,Sinitsyn,129036
17177,Garnet,Highland,101709
17177,Garnet,Highland,103609
17177,Garnet,Highland,105733
17177,Garnet,Highland,107788
17177,Garnet,Highland,109792
17177,Garnet,Highland,113793
17177,Garnet,Highland,116152
17177,Garnet,Highland,116711
17405,Valeri,Sethi,100662
17405,Valeri,Sethi,100889
17405,Valeri,Sethi,104112
