first_name,last_name,dept_name
Cristinel,Bouloucos,Marketing
Georgy,Dredge,Marketing
Berhard,McFarlin,Marketing
Lunjin,Giveon,Marketing
Yucel,Auria,Marketing
Aleksandar,Ananiadou,Marketing
Xiping,Klerer,Marketing
Karoline,Cesareni,Marketing
Nikolaos,Llado,Marketing
Susanna,Vesel,Marketing
Djelloul,Laventhal,Marketing
Phule,Hammerschmidt,Marketing
Hyuckchul,Gini,Marketing
Feiyu,Luft,Marketing
Candida,Porotnikoff,Marketing
Aleksandar,Sudkamp,Marketing
Garnik,Narahari,Marketing
Maik,Luft,Marketing
Ramalingam,Gunderson,Marketing
Dietrich,Journel,Marketing
Hidde,Hettesheimer,Marketing
Douadi,Wossner,Marketing
Junsik,Rijckaert,Marketing
Ottavia,Giarratana,Marketing
Florina,Garnier,Marketing
Rildo,Straney,Marketing
Dung,Gornas,Marketing
Sven,Huttel,Marketing
Goetz,Norsworthy,Marketing
Selwyn,Merey,Marketing
Shiv,Neimat,Marketing
Baocai,Pena,Marketing
Kirk,Kalsbeek,Marketing
Fen,Fiebach,Marketing
King,Bernini,Marketing
Subir,Biron,Marketing
Rayond,Cronau,Marketing
Danil,Kropatsch,Marketing
Valery,Rousseau,Marketing
Reinhard,Lindenbaum,Marketing
Gal,Scallan,Marketing
Udaiprakash,Schmezko,Marketing
Sumali,Arlazarov,Marketing
Shaowei,Iisaku,Marketing
Katsuyuki,Norsworthy,Marketing
Chenye,Hertweck,Marketing
Taegyun,Speckmann,Marketing
Ottavia,Walstra,Marketing
Bangqing,Atrawala,Marketing
Elvis,Katiyar,Marketing
Narain,Stamatiou,Marketing
Shahab,Peng,Marketing
Herb,Cooley,Marketing
Kristian,Sudkamp,Marketing
Kellyn,Daescu,Marketing
Saeko,Mellouli,Marketing
Pradeep,Crooks,Marketing
Bezalel,Chinal,Marketing
Bokyung,Melski,Marketing
Sreenivas,Farrag,Marketing
Domenico,Eastman,Marketing
Hyuckchul,Bahk,Marketing
Paraskevi,Kusalik,Marketing
Atilio,McAlpine,Marketing
Radoslaw,Azevdeo,Marketing
Dmitri,Noriega,Marketing
Ronnie,Provine,Marketing
Eishiro,Pearson,Marketing
Satosi,Cooley,Marketing
Haldun,Iisaka,Marketing
Utpal,Lichtman,Marketing
Manton,Yoshizawa,Marketing
Zine,Mateescu,Marketing
Sandeepan,Yeung,Marketing
Karsten,Ranum,Marketing
Hatem,Raczkowsky,Marketing
Pranas,Jervis,Marketing
Yishay,Peris,Marketing
Tadahiro,Huttel,Marketing
Alagu,Boyle,Marketing
Yechiam,Zaumen,Marketing
Subhash,Taubenfeld,Marketing
Mayumi,Uchoa,Marketing
Lakshmi,Demizu,Marketing
Takanari,Kamber,Marketing
Somnath,Malabarba,Marketing
Sigeru,Marrakchi,Marketing
Gian,Juneja,Marketing
Gila,Redmiles,Marketing
Aimee,Muniz,Marketing
Kristian,Marchegay,Marketing
Oksana,Gide,Marketing
Eldridge,Reghbati,Marketing
Baziley,Felcyn,Marketing
Isaac,Pero,Marketing
Felicidad,Auria,Marketing
Bingning,Etalle,Marketing
Giordano,Zaccaria,Marketing
Sarita,Birch,Marketing
Chenxi,Thambidurai,Marketing
Yolla,Levasseur,Marketing
Elvia,Bugrara,Marketing
Zhongwei,Yurek,Marketing
Zeljko,Kusakabe,Marketing
Cheong,Riexinger,Marketing
Venkatesan,Reeken,Marketing
Zhonghua,Manders,Marketing
Badri,Azulay,Marketing
Baoqiu,Plumb,Marketing
DeForest,Flasterstein,Marketing
Feiyu,Pashtan,Marketing
Aamer,Jayawardene,Marketing
Moheb,Baar,Marketing
Sibyl,Beausoleil,Marketing
Sigeru,Fiebach,Marketing
Luise,McFarlan,Marketing
Jaewoo,Heiserman,Marketing
Mads,Ratzlaff,Marketing
Bluma,Kermarrec,Marketing
Xiong,Ranum,Marketing
Vishv,Speckmann,Marketing
Anneke,Mellouli,Marketing
Wanqing,Prenel,Marketing
Pranay,Eugenio,Marketing
Arunas,Hedayat,Marketing
Rosalie,Rijckaert,Marketing
Abdelwaheb,Scharstein,Marketing
Waiman,Sewelson,Marketing
Takahiro,Sigstam,Marketing
Amalendu,Nyrup,Marketing
Moie,Nannarelli,Marketing
Tremaine,Papastamatiou,Marketing
Make,Merkl,Marketing
Miyeon,Chinal,Marketing
Eben,Kobuchi,Marketing
Vishv,Bressoud,Marketing
Shih,Rahimi,Marketing
Paddy,Bodoff,Marketing
Kotesh,Setia,Marketing
Remko,Ranze,Marketing
Gor,Dechter,Marketing
Ult,Berstel,Marketing
Menkae,Farrow,Marketing
Charlene,Zschoche,Marketing
Jongsuk,Lorin,Marketing
Kristine,Feldmann,Marketing
Zhenhua,Schmittgen,Marketing
Aksel,Nivat,Marketing
Charlene,Granlund,Marketing
Yahiko,Hopewell,Marketing
JoAnna,Conte,Marketing
Mooi,Erni,Marketing
Barton,Goldhammer,Marketing
Radhakrishnan,Baez,Marketing
Avishai,Gonthier,Marketing
Luisa,Shobatake,Marketing
Sven,Luby,Marketing
Richara,Kinley,Marketing
Sastry,Senzako,Marketing
Honglan,Bridgland,Marketing
Raimond,Scharstein,Marketing
Suebskul,Gips,Marketing
Jouni,Rajala,Marketing
Christoper,Yavatkar,Marketing
Bader,Staudhammer,Marketing
Goh,Capobianchi,Marketing
Gad,Boissier,Marketing
Huei,Gargeya,Marketing
Guther,Marrakchi,Marketing
Garnet,Piancastelli,Marketing
Martina,Bergere,Marketing
Radhika,Salverda,Marketing
Zdislav,Khalid,Marketing
Arup,Cincotta,Marketing
Raimond,Picht,Marketing
Shim,Antonakopoulos,Marketing
Mohammad,Keirsey,Marketing
Hairong,Pulkowski,Marketing
Nikolaus,Ozeri,Marketing
Shigeichiro,Suppi,Marketing
Yahiko,Kroll,Marketing
Kazuhide,Zucker,Marketing
Nikolaus,Henders,Marketing
Deborah,Jumpertz,Marketing
Troy,Shokrollahi,Marketing
Rosella,Morrin,Marketing
Genki,Suppi,Marketing
Arunachalam,Zweizig,Marketing
Kersti,Bergere,Marketing
Rance,Matteis,Marketing
Hiroyasu,Pouyioutas,Marketing
Martijn,Sigstam,Marketing
Guther,Senzako,Marketing
Ekawit,Peyn,Marketing
Berna,Skogmar,Marketing
Navid,Velardi,Marketing
Tomofumi,Ranta,Marketing
Jianhua,Klassen,Marketing
Barton,Hofman,Marketing
Masali,Bonifati,Marketing
Berni,Baer,Marketing
Guiseppe,Butner,Marketing
Mountaz,Denis,Marketing
Hisao,Wixon,Marketing
Bodh,Doering,Marketing
Leaf,Wiegley,Marketing
Shuzo,Andreotta,Marketing
Anneke,Lorys,Marketing
Yonghong,Himler,Marketing
Ranga,Erdmenger,Marketing
Tran,Fiutem,Marketing
Qingxiang,Muhling,Marketing
Geoffrey,Claffy,Marketing
Sadegh,Theuretzbacher,Marketing
Babette,Ghalwash,Marketing
Jaewon,Vingron,Marketing
Fumitaka,Liesche,Marketing
Divine,Birke,Marketing
Mostafa,Feldmann,Marketing
Honglan,Beutelspacher,Marketing
Uli,Servieres,Marketing
Bezalel,Spelt,Marketing
Yefim,Spell,Marketing
Sugwoo,Marrevee,Marketing
Muzhong,Thiran,Marketing
Inderjeet,Luit,Marketing
Sudharsan,Schurmann,Marketing
Margo,Vanwelkenhuysen,Marketing
Sakthirel,Tsukuda,Marketing
Shigenori,Nilsson,Marketing
Nahum,Aseltine,Marketing
Munehiro,Kalorkoti,Marketing
Garnik,Lund,Marketing
Sasan,Litzkow,Marketing
Marjo,Brookner,Marketing
Akemi,Iwayama,Marketing
Surveyors,Ranst,Marketing
Kristian,Nitto,Marketing
Fumiko,Sury,Marketing
Jianhao,Radwan,Marketing
Zhigen,Greenaway,Marketing
Jianhua,Vural,Marketing
Wojceich,Papastamatiou,Marketing
Szabolcs,Leslie,Marketing
Fen,Jansen,Marketing
Lidong,Soicher,Marketing
Ekawit,Puppe,Marketing
Aimee,Brookner,Marketing
Adel,Reeker,Marketing
Marsja,Vieri,Marketing
Yongmao,Denis,Marketing
Ghassan,Lindenbaum,Marketing
Candido,Pavlopoulou,Marketing
Shan,DeMori,Marketing
Tristan,Manderick,Marketing
Sadun,Baez,Marketing
Xiahua,Rindone,Marketing
Shmuel,Khasidashvili,Marketing
Horward,Kisuki,Marketing
Younwoo,McDermid,Marketing
Yuuichi,Stroustrup,Marketing
Takahito,Coors,Marketing
Houman,Kropf,Marketing
Gino,Stille,Marketing
Garnik,Swiler,Marketing
Nahla,Tsukuda,Marketing
Masali,Sankaranarayanan,Marketing
Macha,Feinberg,Marketing
Arvind,Poujol,Marketing
Shaleah,Luders,Marketing
Miyeon,Roohalamini,Marketing
