first_name,last_name,max_salary
Margareta,Markovitch,108407
Vishwani,Minakawa,106491
Ebru,Alpin,88443
Isamu,Legleitner,83457
Shirish,Ossenbruggen,79229
Karsten,Sigstam,65400
Krassimir,Wegerle,72583
Rosine,Cools,75121
Shem,Kieras,66995
Oscar,Ghazalie,56654
DeForest,Hagimont,74056
Leon,DasSarma,74510
Peternela,Onuegbe,93193
Rutger,Hofmeyr,72432
Sanjoy,Quadeer,77626
Dung,Pesch,72876
Przemyslawa,Kaelbling,95873
Hauke,Zhang,101987
Arie,Staelin,103244
Hilary,Kambil,79393
Tonny,Butterworth,73953
Marjo,Giarratana,58189
Xiaobin,Spinelli,71406
Yuchang,Weedman,58968
